みんなでにゃんにゃん	みんなでニャンニャン	名詞
かないもうと	加奈～いもうと～	名詞
うたわれるもの	うたわれるもの	名詞
くらなど	CLANNAD	名詞
CLANNAD	CLANNAD	名詞
りとるばすたーず！	リトルバスターズ！	名詞
ゆきばなきら	雪花 -きら-	名詞
つきひめ	月姫	名詞
なつのひのれざなんす	夏の日のレザナンス	名詞
ばいぶるぶらっくらのーちぇでわるぷるぎす	Bible Black -La noche de walpurgis-	名詞
Bible Black -La noche de walpurgis-	Bible Black -La noche de walpurgis-	名詞
なるきっそす	narcissu	名詞
narcissu	narcissu	名詞
ふぇいとすていないと	Fate/stay night	名詞
Fate/stay night	Fate/stay night	名詞
ともよあふたーいっつあわんだーふるらいふ	智代アフター ～It’s a Wonderful Life～	名詞
ともよあふたー ～It’s a Wonderful Life～	智代アフター ～It’s a Wonderful Life～	名詞
りめんばーいれぶんじえいじおぶいんふぃにてぃ	Remember11 -the age of infinity-	名詞
Remember11 -the age of infinity-	Remember11 -the age of infinity-	名詞
すくーるでいず	School Days	名詞
School Days	School Days	名詞
むーん	MOON.	名詞
MOON.	MOON.	名詞
ゆのはな	ゆのはな	名詞
えばーせぶんてぃーんじあうとおぶいんふぃにてぃ	Ever17 -the out of infinity-	名詞
Ever17 -the out of infinity-	Ever17 -the out of infinity-	名詞
とぅはーと	To Heart	名詞
To Heart	To Heart	名詞
ときめきめもりある	ときめきメモリアル	名詞
とぅはーとつー	ToHeart2	名詞
ToHeart2	ToHeart2	名詞
てんしのいないじゅうにがつ	天使のいない12月	名詞
てんしのいない12がつ	天使のいない12月	名詞
かたはね	カタハネ	名詞
いつかとどくあのそらに	いつか、届く、あの空に。	名詞
いつか、とどく、あのそらに。	いつか、届く、あの空に。	名詞
うみねこのなくころに	うみねこのなく頃に	名詞
あやかし	AYAKASHI アヤカシ	名詞
AYAKASHI あやかし	AYAKASHI アヤカシ	名詞
せいなるかなざーすぴりっとおぶえたーにてぃそーどつー 	聖なるかな -The Spirit of Eternity Sword2-	名詞
ひじりなるかな -The Spirit of Eternity Sword2-	聖なるかな -The Spirit of Eternity Sword2-	名詞
せぱれいとはーつ	セパレイトハーツ	名詞
しゃっふる!	SHUFFLE!	名詞
SHUFFLE!	SHUFFLE!	名詞
くれっしぇんどえいえんだとおもっていたあのころ	Crescendo ～永遠だと思っていたあの頃～	名詞
Crescendo ～えいえんだとおもっていたあのごろ～	Crescendo ～永遠だと思っていたあの頃～	名詞
ようじんぼううんめいのふろいで	用心棒- ～運命のフロイデ～	名詞
ようじんぼう- ～うんめいのふろいで～	用心棒- ～運命のフロイデ～	名詞
ぎまいひとみ	義妹・仁美	名詞
なついろのすなどけい	夏色の砂時計	名詞
かのん	Kanon	名詞
Kanon	Kanon	名詞
ぷらねたりあんちいさなほしのゆめ	planetarian ～ちいさなほしのゆめ～	名詞
planetarian ～ちいさなほしのゆめ～	planetarian ～ちいさなほしのゆめ～	名詞
わいんどあぶるれすおぶはーと	Wind -a breath of heart-	名詞
Wind -a breath of heart-	Wind -a breath of heart-	名詞
えあー	AIR	名詞
AIR	AIR	名詞
くさりひめゆーさねいじあ	腐り姫 ～euthanasia～	名詞
くさりひめ ～euthanasia～	腐り姫 ～euthanasia～	名詞
しんふぉにっくしんふぉにっくれいん	シンフォニック＝レイン	名詞
よんじゅうにちよんじゅうやのあめ	40日40夜の雨	名詞
40にち40やのあめ	40日40夜の雨	名詞
ざぬーす	The noose	名詞
The noose	The noose	名詞
ゆうえんち	ゆ・う・え・ん・ち	名詞
ゆ・う・え・ん・ち	ゆ・う・え・ん・ち	名詞
こいようび	恋ようび	名詞
えっくすちぇんじ	Xchange	名詞
Xchange	Xchange	名詞
ゆめみるくすり	ユメミルクスリ	名詞
ふぁんとむふぁんとむおぶいんふぇるの	Phantom -PHANTOM OF INFERNO-	名詞
Phantom -PHANTOM OF INFERNO-	Phantom -PHANTOM OF INFERNO-	名詞
さがらさんちのえつらくらいふ♪	相楽さん家の悦楽ライフ♪	名詞
かげつとおや	歌月十夜	名詞
らでぃかるどりーまーずぬすめないほうせき	RADICAL DREAMERS -盗めない宝石-	名詞
RADICAL DREAMERS -ぬすめないほうせき-	RADICAL DREAMERS -盗めない宝石-	名詞
つきひめぷらすでぃすく	月姫 PLUS-DISC	名詞
つきひめ PLUS-DISC	月姫 PLUS-DISC	名詞
ふぇいとほろうあたらくしあ	Fate/hollow ataraxia	名詞
Fate/hollow ataraxia	Fate/hollow ataraxia	名詞
わんかがやくきせつへ	ONE ～輝く季節へ～	名詞
ONE ～かがやくきせつへ～	ONE ～輝く季節へ～	名詞
とこよのほしぞら	常世の星空	名詞
おとこどげざじごく	男土下座地獄	名詞
しあわせのかたち	しあわせのかたち	名詞
いしかとほのり	イシカとホノリ	名詞
ぴーすおぶわんだー	ピースオブワンダー	名詞
しゃりんのくにひまわりのしょうじょ	車輪の国、向日葵の少女	名詞
しゃりんのくに、ひまわりのしょうじょ	車輪の国、向日葵の少女	名詞
むこうのゆめ	向日の夢	名詞
ほしのふるおか	星の降る丘	名詞
あいよりあおし	藍より青し	名詞
ひとなつのゆめ	ヒトナツの夢	名詞
まなつのかげろう	真夏のかげろう	名詞
どらごにあ	ドラゴニア	名詞
ぷらいべーとなーす	プライベートナース	名詞
まいひめうんめいのけいとうじゅ	舞-HiME 運命の系統樹	名詞
まい-HiME うんめいのけいとうじゅ	舞-HiME 運命の系統樹	名詞
くろすちゃんねる	CROSS†CHANNEL	名詞
CROSS†CHANNEL	CROSS†CHANNEL	名詞
ひぐらしのなくころに	ひぐらしのなく頃に	名詞
ひぐらしのなくころにかい	ひぐらしのなく頃に解	名詞
ひぐらしのなくころにれい	ひぐらしのなく頃に礼	名詞
narcissu -SIDE 2nd-	narcissu -SIDE 2nd-	名詞
ゆきさくら	雪桜	名詞
わたしのくろねこ	私の黒猫	名詞
Summer Days	Summer Days	名詞
えいえんのあせりあ-The Spirit of Eternity Sword-	永遠のアセリア-The Spirit of Eternity Sword-	名詞
がつかげろう	月陽炎	名詞
えいえんのあせりあ Expansion —The Spirit of Eternity Sword—	永遠のアセリア Expansion —The Spirit of Eternity Sword—	名詞
すぴたん Spirits Expedition―in the Phantasmagoria―	スピたん Spirits Expedition―in the Phantasmagoria―	名詞
さいしゅうしけんくじら	最終試験くじら	名詞
true tears	true tears	名詞
がつはひがしににちはにしに ～Operation Sanctuary～	月は東に日は西に ～Operation Sanctuary～	名詞
Quartett!	Quartett!	名詞
ExE	ExE	名詞
しゃりんのくに、ゆうきゅうのしょうねんしょうじょ	車輪の国、悠久の少年少女	名詞
たましいきょう〜たまゆら〜	魂響〜たまゆら〜	名詞
こんなむすめがいたらぼくはもう…!!	こんな娘がいたら僕はもう…!!	名詞
FORTUNE ARTERIAL	FORTUNE ARTERIAL	名詞
ef - a fairy tale of the two.	ef - a fairy tale of the two.	名詞
_summer	_summer	名詞
ToHeart2 AnotherDays	ToHeart2 AnotherDays	名詞
よるちょうきたん	夜蝶綺譚	名詞
